Date,CPI,SPY,DGS6MO,UNRATE,G17
20-Oct,260.352,-0.021030476,0.113809524,6.9,101.7775
20-Nov,260.721,0.108777041,0.102105263,6.7,102.0979
20-Dec,261.564,0.032646572,0.092727273,6.7,101.7632
21-Jan,262.2,-0.005971233,0.092105263,6.3,101.303
21-Feb,263.346,0.027805362,0.056842105,6.2,101.7038
21-Mar,265.028,0.041986638,0.052608696,6.1,97.8746
21-Apr,266.727,0.056358937,0.039090909,6.1,84.959
21-May,268.599,0.006565994,0.0355,5.8,86.3345
21-Jun,270.955,0.019093495,0.05,5.9,91.7523
21-Jul,272.184,0.027763931,0.053333333,5.4,95.2439
21-Aug,273.092,0.029759764,0.055454545,5.2,96.1173
21-Sep,274.214,-0.049650053,0.052380952,4.8,96.0711
21-Oct,276.59,0.073592032,0.0615,4.5,96.825
21-Nov,278.524,-0.008034836,0.073,4.2,97.1183
21-Dec,280.126,0.042584903,0.145454545,3.9,98.138
22-Jan,281.933,-0.04941332,0.3255,4,99.2645
22-Feb,284.182,-0.029516946,0.638421053,3.8,96.2231
22-Mar,287.708,0.034376886,0.855652174,3.6,98.8621
22-Apr,288.663,-0.084935067,1.2615,3.6,99.0246
22-May,291.474,0.002257288,1.494761905,3.6,99.7785
22-Jun,295.328,-0.086406932,2.165238095,3.6,100.1923
22-Jul,295.271,0.096804986,2.8675,3.5,100.8724
22-Aug,295.62,-0.040801957,3.154347826,3.7,100.837
22-Sep,296.761,-0.096158759,3.70952381,3.5,99.8498
22-Oct,298.062,0.085717283,4.308,3.7,101.3602
22-Nov,298.349,0.055591509,4.611,3.6,101.961
22-Dec,298.112,-0.061935836,4.708095238,3.5,101.7587
,,,,,102.146
,,,,,102.8987
,,,,,103.5717
,,,,,104.2709
,,,,,104.1646
,,,,,103.9464
,,,,,104.4824
,,,,,104.4696
,,,,,104.8292
,,,,,104.7972
,,,,,104.1863
,,,,,103.4332
